TransactionAmount,TransactionType,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,days_since_last_transaction,hour_sin,hour_cos,week_sin,week_cos,month_sin,month_cos,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,amount_balance_ratio,night_transaction,high_login_attempts,quick_transactions
235.42,1,0.0221843003412969,51,175,1,6173.23,52.04583333333333,-1.0,-1.8369701987210294e-16,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,1,0,0,0,1,0,0.038135627540201805,0,0,1.3452571428571427
810.36,1,0.0227531285551763,20,67,1,9239.12,0.0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,1,0,0,0,0,0,1,0.08770965200148931,0,0,12.094925373134329
101.42,1,0.0238907849829351,66,146,1,6530.59,0.0,-0.9659258262890684,-0.2588190451025206,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,1,0,0.015529990399029796,0,0,0.6946575342465754
300.47,1,0.0284414106939704,73,100,1,7885.64,3.964583333333333,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,1,0,0,0,1,0,0.03810343865558154,0,0,3.0047
215.8,0,0.0284414106939704,51,66,1,3656.62,93.9263888888889,-0.8660254037844385,-0.5000000000000004,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387,0,1,0,0,0,1,0,0.05901624997948926,0,0,3.26969696969697
301.47,1,0.0233219567690557,21,291,1,560.73,0.0,-0.8660254037844385,-0.5000000000000004,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0,1,0,0,0,0,1,0.5376384356107218,0,0,1.0359793814432992
268.39,1,0.0261660978384527,26,171,1,136.74,18.00486111111111,-1.0,-1.8369701987210294e-16,0.0,1.0,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,1,1.9627760713763345,0,0,1.56953216374269
1241.05,1,0.0261660978384527,18,129,1,756.74,77.98472222222222,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0,1,0,0,0,0,1,1.6399952427518036,0,0,9.620542635658914
106.39,1,0.0267349260523321,37,281,1,9410.99,0.0,-1.0,-1.8369701987210294e-16,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0.01130486803194988,0,0,0.3786120996441281
29.19,0,0.0221843003412969,58,41,1,12059.85,12.027083333333334,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0,1,0,1,0,0,0,0.002420428114777547,0,0,0.7119512195121952
22.3,1,0.0284414106939704,21,90,1,1200.35,70.03472222222223,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.4999999999999999,-0.8660254037844387,1,0,0,0,0,0,1,0.018577914774857335,0,0,0.2477777777777778
537.71,0,0.0233219567690557,19,175,1,1806.08,18.963194444444444,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,1,0.2977221385542169,0,0,3.0726285714285715
212.14,1,0.0233219567690557,72,105,1,7225.06,6.998611111111111,-0.9659258262890684,-0.2588190451025206,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0,1,0,0,0,1,0,0.02936169388212693,0,0,2.020380952380952
149.25,1,0.0238907849829351,39,142,1,5677.52,84.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.8660254037844387,-0.4999999999999998,1,0,0,0,1,0,0,0.026287886260198113,0,0,1.051056338028169
438.04,1,0.0284414106939704,67,247,1,5358.95,16.088194444444444,-1.0,-1.8369701987210294e-16,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,0,0,0,0,1,0,0.081739893076069,0,0,1.7734412955465588
93.22,1,0.027872582480091,52,52,1,1014.63,8.013194444444444,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,1,0,0.09187585622345092,0,0,1.7926923076923076
